bic_nombre,bic_categoria,bic_entorno,municipio_nombre,bic_descripcion,boletin1_nombre,boletin1_url,boletin2_nombre,boletin2_url
CAMINO DE LAS LAJAS,ZONA ARQUEOLÓGICA,verdadero,SAN MIGUEL,"Bien de Interés Cultural con categoría de Zona Arqueológica del “Camino de las Lajas”, en el municipio de San Miguel, declarado por Decreto 106/2014, de 6 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 222 de 14 de noviembre de 2014.",BOC nº 222 de 14 de noviembre de 2014,http://www.gobiernodecanarias.org/boc/2014/222/004.html,,
CASTILLO DE PASO ALTO,MONUMENTO,falso,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Castillo de Paso Alto”, en el municipio de Santa Cruz, declarado por Decreto de 22 de abril de 1949, del Ministerio de Educación Nacional, publicado en el BOE nº 125 de 5 de mayo de 1949. ",BOE nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf,,
IGLESIA DE SAN PEDRO APÓSTOL,MONUMENTO,verdadero,VILAFLOR,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Pedro Apóstol”, en el municipio de Vilaflor, declarado por Decreto 602/1985, de 20 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 13 de 31 de enero de 1986, y modificación de la categoría, delimitación de entorno de protección y establecimiento de los bienes muebles vinculados por Decreto 13/2017, de 16 de enero, publicado en el BOC Nº 16 de 24 de enero de 2017.",BOC nº 13 de 31 de enero de 1986,http://www.gobiernodecanarias.org/boc/1986/013/005.html,BOC Nº 16 de 24 de enero de 2017,http://www.gobiernodecanarias.org/boc/2017/016/034.html
HACIENDA DE LOS PRÍNCIPES,MONUMENTO,verdadero,REALEJOS (LOS),"Bien de Interés Cultural con categoría de Monumento de la “Hacienda de los Príncipes”, en el municipio de Los Realejos, declarado por Decreto 56/2009 de 19 de mayo, del Gobierno de Canarias, publicado en el BOC nº 103 de 1 de junio de 2009, y modificación de la delimitación por Decreto 39/2015 de 27 de marzo, publicado en el BOC nº 67 de 9 de abril de 2015.",BOC nº 103 de 1 de junio de 2009,http://www.gobiernodecanarias.org/boc/2009/103/006.html,BOC nº 67 de 9 de abril de 2015,http://www.gobiernodecanarias.org/boc/2015/067/006.html
EDIFICIO VILLASEGURA,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Edificio Villasegura”, en el municipio de Santa Cruz, declarado por Decreto 91/2006, de 4 de julio, del Gobierno de Canarias, publicado en el BOC nº 135 de 13 de julio de 2006.",BOC nº 135 de 13 de julio de 2006,http://www.gobiernodecanarias.org/boc/2006/135/006.html,,
IGLESIA DE SAN JUAN BAUTISTA Y CASAS DE LOS ALEDAÑOS,MONUMENTO,falso,ARICO,"Bien de Interés Cultural con categoría de la “Iglesia de San Juan Bautista y casas antiguas de los Aledaños”, en el municipio de Arico, declarado por Decreto 602/1985, de 20 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 13 de 31 de enero de 1986.",BOC nº 13 de 31 de enero de 1986,http://www.gobiernodecanarias.org/boc/1986/013/005.html,,
CASA DE CARTA,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Casa de Carta”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 4/2006, de 27 de enero, del Gobierno de Canarias, publicado en el BOC nº 27 de 8 de febrero de 2006.",BOC nº 27 de 8 de febrero de 2006,http://www.gobiernodecanarias.org/boc/2006/027/004.html,,
IGLESIA DE SANTA URSULA,MONUMENTO,verdadero,ADEJE,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Santa Úrsula”, en el municipio de Adeje, declarado por Decreto 30/1986, de 7 de febrero, del Gobierno de Canarias, publicado en el BOC nº 28 de 7 de marzo de 1986, y modificación de la categoría, delimitación del entorno de protección y vinculación de bienes muebles por Decreto 162/2017, de 31 de mayo, del Gobierno de Canarias, publicado en el BOC nº 109 de 8 de junio de 2017.",BOC nº 28 de 7 de marzo de 1986,http://www.gobiernodecanarias.org/boc/1986/028/006.html,BOC nº 109 de 8 de junio de 2017,http://www.gobiernodecanarias.org/boc/2017/109/006.html
POLVORÍN DE TACO,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento del “Polvorín de Taco”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 44/2010, de 29 de abril, del Gobierno de Canarias, publicado en el BOC nº 90 de 10 de mayo de 2010.",BOC nº 90 de 10 de mayo de 2010,http://www.gobiernodecanarias.org/boc/2010/090/002.html,,
IGLESIA DE SAN PEDRO APÓSTOL,MONUMENTO,verdadero,SAUZAL (EL),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Pedro Apóstol”, en el municipio de El Sauzal, declarado por Decreto 207/2005 de 02 de noviembre, del Gobierno de Canarias publicado en el BOC nº 224 de 15 de noviembre de 2005.",BOC nº 224 de 15 de noviembre de 2005,http://www.gobiernodecanarias.org/boc/2005/224/006.html,,
PALACIO  DE  CARTA,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del ""Palacio de Carta"", en el municipio de Santa Cruz, declarado por Decreto de 7 de marzo de 1947 publicado en el BOE nº 79 de 20 de marzo de 1947. Delimitación del entorno de protección por Decreto 127/2008, de 3 de junio, del Gobierno de Canarias, publicado en el BOC nº 118 de 13 de junio de 2008.",BOE nº 79 de 20 de marzo de 1947,https://www.boe.es/diario_gazeta/comun/pdf.php?p=1947/03/20/pdfs/BOE-1947-79.pdf,BOC nº 118 de 13 de junio de 2008.,http://www.gobiernodecanarias.org/boc/2008/118/006.html
